"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"R37","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","114,8080","56,5150","270","Resistor 0403"
"U10","NRF52840-QIAA-R7","TopLayer","NRSC-AQFN-73","107,7810","62,9910","180","Advanced multi-protocol SoC supporting Bluetooth 5/ANT/ 802.15.4/ 2.4GHz proprietary"
"U7","PI3USB221EQ1ZUAEX","TopLayer","PI3USB221EQ1ZUAEX-Footprint-1","121,4223","61,8205","270","High-Speed USB2.0 1:2 Multiplexer/DeMultiplexer Switch with Signal Enable"
"U2","TPS65252RHDR","TopLayer","FP-RHD0028A-MFG","102,7953","88,9893","0","TPS65252 4.5V to 16V Input, 3A/2"
"R40","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","82,0420","71,2470","0","Resistor 0403"
"R39","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","83,6870","71,2470","180","Resistor 0403"
"R36","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","103,0704","64,7374","0","Resistor 0403"
"R35","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","101,7949","65,1250","270","Resistor 0403"
"R34","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","102,4890","71,8820","180","Resistor 0403"
"R33","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","136,6520","63,2520","90","Resistor 0403"
"R32","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","76,4540","67,1770","270","Resistor 0403"
"R31","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","137,9280","64,5160","180","Resistor 0403"
"R30","Resistor 0603","TopLayer","RESC1608X55X25ML10T15","108,0890","96,7740","0","Resistor 0603"
"R29","Resistor 0603","TopLayer","RESC1608X55X25ML10T15","116,8520","98,6790","0","Resistor 0603"
"R28","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","86,9950","91,0590","0","Resistor 0403"
"R26","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","121,8073","59,5355","90","Resistor 0403"
"R25","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","120,9183","59,5295","90","Resistor 0403"
"R24","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","73,7870","69,7230","270","Resistor 0403"
"R23","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","69,2150","72,5170","180","Resistor 0403"
"R22","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","72,2630","72,5170","180","Resistor 0403"
"R21","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","58,4432","60,5789","90","Resistor 0403"
"R20","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","58,4470","62,2074","90","Resistor 0403"
"R19","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","100,0550","93,2450","270","Resistor 0403"
"R18","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","108,5022","90,0049","270","Resistor 0403"
"R17","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","137,0330","65,4050","180","Resistor 0403"
"R15","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","137,0330","66,2940","180","Resistor 0403"
"R14","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","103,2242","93,5281","90","Resistor 0403"
"R13","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","137,0330","67,1830","0","Resistor 0403"
"R12","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","133,6083","61,2323","270","Resistor 0403"
"R10","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","107,3444","88,0708","180","Resistor 0403"
"R9","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","110,1090","87,3760","0","Resistor 0403"
"R8","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","96,6323","88,1812","45","Resistor 0403"
"R7","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","96,7320","90,7694","90","Resistor 0403"
"R5","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","98,2882","87,2812","225","Resistor 0403"
"R3","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","127,5140","78,9940","180","Resistor 0403"
"R2","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","75,0570","67,1830","270","Resistor 0403"
"R1","Resistor 0403","TopLayer","RESC1005X40X25LL10T10_HD","82,4230","72,5170","0","Resistor 0403"
"J7","MM8130-2600RA2","TopLayer","FP-MM8130-2600RA2-MFG","96,7975","61,9562","90","CONN SWF JACK STR 50 OHM SMD"
"J2","U.FL-R-SMT-1(80)","TopLayer","FP-U_FL-R-SMT-1_80-MFG","60,4520","85,0905","0","CONN U.FL RCPT STR 50 OHM SMD"
"J1","U.FL-R-SMT-1(80)","TopLayer","FP-U_FL-R-SMT-1_80-MFG","60,5790","72,8985","180","CONN U.FL RCPT STR 50 OHM SMD"
"D3","PUSB3FA0","TopLayer","FP-SOT1176-1-MFG","92,3225","70,2230","270","ESD protection for ultra high-speed interfaces"
"D2","PUSB3FA0","TopLayer","FP-SOT1176-1-MFG","86,7410","97,5425","180","ESD protection for ultra high-speed interfaces"
"C75","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","106,5320","83,2660","270","Chip Capacitor, 0603 (1608 Metric)"
"C74","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","105,2620","83,2660","270","Chip Capacitor, 0603 (1608 Metric)"
"C73","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","129,6919","63,3020","90","Chip Capacitor, 0402 (1005 Metric)"
"C72","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","99,2330","84,9840","0","Chip Capacitor, 0603 (1608 Metric)"
"C71","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","98,5108","83,2719","270","Chip Capacitor, 0603 (1608 Metric)"
"C70","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","99,7808","83,2719","270","Chip Capacitor, 0603 (1608 Metric)"
"C69","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","105,7700","85,2380","180","Chip Capacitor, 0603 (1608 Metric)"
"C68","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","105,4490","93,8725","270","Chip Capacitor, 0603 (1608 Metric)"
"C67","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","124,3930","75,3110","180","Chip Capacitor, 0603 (1608 Metric)"
"C66","Capacitor 0603","TopLayer","CAPC1608X90X40LL10T20_HD","104,2460","93,8740","270","Chip Capacitor, 0603 (1608 Metric)"
"C65","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","103,8876","67,9484","225","Chip Capacitor, 0402 (1005 Metric)"
"C64","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","107,5232","68,7120","270","Chip Capacitor, 0402 (1005 Metric)"
"C63","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","112,3577","65,6287","180","Chip Capacitor, 0402 (1005 Metric)"
"C60","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","92,8280","72,8980","0","Chip Capacitor, 0402 (1005 Metric)"
"C59","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","91,3130","96,3930","90","Chip Capacitor, 0402 (1005 Metric)"
"C58","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","112,3581","66,4955","180","Chip Capacitor, 0402 (1005 Metric)"
"C57","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","113,1660","64,7700","180","Chip Capacitor, 0402 (1005 Metric)"
"C56","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","103,0704","63,2555","0","Chip Capacitor, 0402 (1005 Metric)"
"C55","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","89,9160","57,2770","0","Chip Capacitor, 0402 (1005 Metric)"
"C54","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","89,9070","60,0710","0","Chip Capacitor, 0402 (1005 Metric)"
"C53","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","99,0600","62,3660","270","Chip Capacitor, 0402 (1005 Metric)"
"C52","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","101,6000","62,3660","270","Chip Capacitor, 0402 (1005 Metric)"
"C51","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","115,6970","61,0870","90","Chip Capacitor, 0402 (1005 Metric)"
"C50","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","115,6970","58,5470","270","Chip Capacitor, 0402 (1005 Metric)"
"C49","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","102,3620","60,3250","45","Chip Capacitor, 0402 (1005 Metric)"
"C48","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","111,5060","57,4040","90","Chip Capacitor, 0402 (1005 Metric)"
"C47","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","112,6490","58,4200","90","Chip Capacitor, 0402 (1005 Metric)"
"C46","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","103,0188","59,7118","45","Chip Capacitor, 0402 (1005 Metric)"
"C45","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","105,5370","57,6580","90","Chip Capacitor, 0402 (1005 Metric)"
"C43","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","104,0721","53,4710","180","Chip Capacitor, 0402 (1005 Metric)"
"C42","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","106,4260","58,1660","90","Chip Capacitor, 0402 (1005 Metric)"
"C41","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","107,7498","55,9173","90","Chip Capacitor, 0402 (1005 Metric)"
"C40","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","108,6388","55,9173","90","Chip Capacitor, 0402 (1005 Metric)"
"C39","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","100,2030","57,9210","270","Chip Capacitor, 0402 (1005 Metric)"
"C38","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","59,4100","62,9040","270","Chip Capacitor, 0402 (1005 Metric)"
"C37","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","61,8490","58,6740","180","Chip Capacitor, 0402 (1005 Metric)"
"C36","Capacitor 0402","TopLayer","CAPC1005X55X25LL05T10_HD","62,1201","67,2481","270","Chip Capacitor, 0402 (1005 Metric)"
